"","Longitude","Latitude","Date","Survey_Type"
"5244","W77.01064","N38.93245","04/30/17","transect"
"94158","W77.02482","N38.93475","01/23/10","random"
"78013","W77.02934","N38.93887","08/11/91","transect"
"8509","W77.00222","N38.95669","10/09/83","transect"
"41870","W77.04788","N38.94808","06/22/17",""
"42812","W77.04882","N38.94784","02/09/17",""
"147840","W77.00612","N38.92105","02/11/04","transect4"
"53994","W77.00518","N38.94505","07/27/12","nontransect"
"201229","W77.03308","N38.90735","09/13/90","transect"
"101362","W77.01017","N38.93293","12/09/13","nontransect"
"5888","W77.04134","N38.95729","08/10/19","otehr"
"69832","W77.01843","N38.95705","08/15/12",""
"86116","W77.02232","N38.93681","06/30/11","other"
"9","W77.01827","N38.95766","11/21/15","transect"
"74462","W77.06565","N38.93972","02/03/17","random"
"7876","W77.04757","N38.92081","04/15/11","transect"
"6202","W77.06627","N38.95717","09/24/15","other"
"89707","W77.05365","N38.93584","08/19/13",""
"209177","W77.05022","N38.90529","03/10/12","N/A"
"35153","W77.06051","N38.94978","12/16/12","Other"
"147989","W77.05676","N38.92093","09/12/15","Other"
"196214","W77.00206","N38.90868","03/02/79","transect"
"79130","W77.003","N38.93863","06/03/11","N/A"
"215303","W77.05583","N38.90371","09/11/93","first_transect"
"25934","W77.01983","N38.9522","04/07/19","nontransect"
"26226","W77.04819","N38.95208","01/02/98","transect"
"116704","W77.05692","N38.92893","01/30/80","transect"
"49648","W77.01765","N38.94614","11/20/19","Other"
"160864","W77.04476","N38.91766","09/27/13","other"
"77567","W77.02497","N38.93899","01/22/20","N/A"
"91589","W77.05583","N38.93536","08/04/15","random"
"102631","W77.02435","N38.9562","06/11/19",NA
"114701","W76.99973","N38.92954","04/10/14",""
"106778","W77.05256","N38.93148","07/02/11","N/A"
"43035","W77.01406","N38.94784","05/15/05","transect"
"101975","W77.06238","N38.93269","06/13/10",""
"83480","W77.06378","N38.93742","04/06/84","transect"
"34408","W77.02887","N38.95002","09/30/11",""
"165580","W77.04851","N38.91644","09/24/11","Other"
