"","Longitude","Latitude","Date","Survey_Type"
"76660","77°1.11'W","38°56.35'N","13-Jan-78","transect "
"117261","77°2.64'W","38°55.73'N","16-Jan-78","transect"
"39342","76°59.92'W","38°56.93'N","20-Jan-78","transect"
"149764","77°0.11'W","38°55.23'N","21-Jan-78","transect"
"87058","77°1.4'W","38°56.19'N","23-Jan-78","transect"
"6433","77°1.82'W","38°57.43'N","24-Jan-78","transect"
"158883","77°3.48'W","38°55.09'N","03-Feb-78","transect"
"106671","77°4.15'W","38°55.89'N","08-Feb-78","transect"
"199524","77°0.2'W","38°54.47'N","14-Feb-78","transect"
"73887","77°0.45'W","38°56.4'N","15-Feb-78","transect"
"62775","77°2.41'W","38°56.57'N","11-Mar-78","transects"
"152060","77°0.8'W","38°55.2'N","16-Mar-78","transect"
"9636","77°2.89'W","38°57.38'N","17-Mar-78","Transect5"
"30281","77°0.43'W","38°57.07'N","20-Mar-78","transect"
"59697","77°0.17'W","38°56.62'N","30-Mar-78","transect"
"58907","77°3.13'W","38°56.62'N","05-Apr-78","first_transect"
"34903","77°1.54'W","38°56.99'N","11-Apr-78","transect3"
"39232","77°3.13'W","38°57.47'N","14-Apr-78","transect"
"134582","77°0.24'W","38°55.47'N","21-Apr-78","transect "
"81936","77°0.54'W","38°56.27'N","29-Apr-78","transect1"
"72023","77°0.15'W","38°56.43'N","02-May-78","transect3"
"44431","77°1.09'W","38°56.85'N","28-May-78","Transect"
"185866","77°3.81'W","38°54.67'N","01-Jun-78","transect"
"138024","77°3.51'W","38°55.41'N","16-Jun-78","Transect"
"57141","77°1.91'W","38°56.65'N","18-Jun-78","transect"
"159163","77°0.86'W","38°55.09'N","25-Jun-78","transect"
"30533","77°2.51'W","38°57.06'N","26-Jun-78","transect_2"
"176805","77°4.32'W","38°54.81'N","27-Jun-78","transect4"
"132716","76°59.96'W","38°55.5'N","29-Jun-78","transect_2"
"163754","77°2.26'W","38°55.02'N","02-Jul-78","transect"
"152997","77°0.9'W","38°55.18'N","15-Jul-78","first_transect"
"23795","77°3.46'W","38°57.16'N","04-Aug-78","first_transect"
"198788","77°2.65'W","38°54.48'N","08-Aug-78","transect"
