"","Longitude","Latitude","Date","Survey_Type"
"148745",-77.012816952244,38.9208076420291,1978-01-09,"transect"
"116316",-77.0435180892634,38.9290520582317,1978-01-10,"transect"
"84528",-77.0481933893171,38.9371742959394,1978-01-11,"transect"
"77714",-77.0020637621205,38.9389925799304,1978-01-14,"transect"
"86304",-77.066894589532,38.9366894123343,1978-01-18,"transect"
"1085",-77.0511544126845,38.9585058920834,1978-01-20,"Transect4"
"98335",-77.0386869458746,38.9336588146868,1978-01-21,"transect"
"32050",-77.0269986957403,38.9506284933792,1978-01-21,"first_transect"
"14698",-77.0718815762559,38.9549914685352,1978-01-26,"transect"
"139395",-77.0664270595266,38.9231113253593,1978-01-27,"transect"
"777",-77.0252844190539,38.9586270759935,1978-01-28,"transect"
"1412",-77.000193642099,38.9585058920834,1978-02-01,"TRANSECT"
"12034",-77.0438297759336,38.9557186049485,1978-02-01,"second_transect"
"156631",-77.0396220058853,38.9187463882806,1978-02-03,"transect"
"198999",-77.0112585188928,38.9079541413713,1978-02-08,"transect_2"
"21892",-77.0587907361055,38.9531735948607,1978-02-12,"Transect"
"165972",-77.0612842294676,38.916321307211,1978-02-22,"first_transect"
"9676",-77.0419596559122,38.9563245462605,1978-02-23,"transect"
"107647",-77.0648686261754,38.9312342433235,1978-02-26,"transect3"
"213696",-77.0107909888874,38.9041946587881,1978-03-09,"transect"
"34084",-77.0054923154932,38.9501437017828,1978-03-10,"second_transect"
"134063",-77.0109468322226,38.924566244714,1978-03-11,"Transect"
"16419",-77.0252844190539,38.9546278975306,1978-03-12,"first_transect"
"190854",-77.0248168890486,38.910015708585,1978-03-21,"transect"
"35785",-77.0358817658424,38.9496589068705,1978-03-25,"transect"
"189296",-77.0460115826254,38.9103795083487,1978-03-25,"transect"
"177773",-77.0689205528886,38.913289839333,1978-03-31,"transect"
"141929",-77.0408687525663,38.9225051001559,1978-04-01,"Transect5"
"150444",-77.0435180892634,38.9203226465341,1978-04-02,"transect"
"35022",-77.0070507488445,38.9499013047411,1978-04-03,"transect4"
"34646",-77.065647842851,38.9499013047411,1978-04-04,"transect"
"63985",-76.9994144254234,38.9425077967728,1978-04-08,"first_transect"
"38618",-77.0375960425287,38.948931708285,1978-04-09,"transects"
"78660",-77.0023754487908,38.9387501447587,1978-04-14,"TRANSECT"
"35702",-77.0488167626576,38.9496589068705,1978-05-10,"TRANSECT"
"101201",-77.0352583925018,38.9329314519806,1978-05-13,"transect"
"52655",-77.0661153728564,38.9452956034516,1978-05-14,"TRANSECT"
"213640",-77.0195182156544,38.9041946587881,1978-05-20,"Transect1"
"188788",-77.0513102560196,38.9105007745222,1978-05-24,"transect"
"41873",-77.0474141726415,38.9480833005061,1978-05-25,"transect"
"24392",-77.0385311025394,38.9525676266071,1978-05-27,"transect"
"22916",-77.0469466426361,38.9529312081809,1978-05-28,"transect"
"16161",-77.0654919995159,38.9546278975306,1978-05-28,"Transect3"
"169714",-77.0690763962237,38.9153512515784,1978-05-29,"thirdtransect"
"83482",-77.0634660361593,38.9374167364987,1978-06-01,"transect"
"99241",-77.0452323659498,38.9334163612802,1978-06-13,"first_transect"
"115268",-77.0591024227758,38.9292945265571,1978-06-15,"transect"
"71433",-77.0206091190002,38.9405683883418,1978-06-18,"Transect3"
"3742",-77.0064273755039,38.9578999694236,1978-07-01,"transect"
"193468",-77.060660856127,38.9092881034639,1978-07-02,"transect"
"58391",-77.0586348927704,38.9438411092961,1978-07-05,"transect"
"31406",-77.0534920627113,38.9507496907603,1978-07-07,"thirdtransect"
"12104",-77.032920742475,38.9557186049485,1978-07-10,"transect"
"84419",-77.0651803128456,38.9371742959394,1978-07-13,"transect"
"135615",-77.0645569395052,38.9240812749108,1978-07-22,"transect"
"202993",-77.0536479060465,38.9068626991956,1978-08-07,"transect"
"156493",-77.0611283861324,38.9187463882806,1978-08-10,"Transect3"
"188630",-77.0020637621205,38.9106220404886,1978-08-13,"transect"
"110431",-77.0003494854341,38.9306280875322,1978-08-15,"transect"
"61675",-77.0639335661646,38.9429926405915,1978-08-22,"transect"
"157423",-77.0639335661646,38.918503883903,1978-08-25,"transect"
"193238",-77.0226350823568,38.9094093715021,1978-08-29,"transect"
"209765",-77.0324532124696,38.9051648669013,1978-09-08,"transect_2"
"198252",-77.0538037493816,38.9080754116883,1978-09-15,"transect"
"188340",-77.0472583293064,38.9106220404886,1978-09-16,"transect"
"116257",-77.0527128460357,38.9290520582317,1978-09-17,"transect"
"30439",-77.0564530860787,38.9509920849007,1978-09-18,"transect3"
"162919",-77.0199857456597,38.9171700950123,1978-09-21,"transect"
"130416",-77.0622192894783,38.9254149338922,1978-09-24,"transect"
"34326",-77.0416479692419,38.9500225033656,1978-09-25,"transect"
"191341",-77.022790925692,38.9098944415827,1978-09-25,"transects"
"41054",-77.0273103824106,38.9483257037648,1978-09-29,"Transect1"
"43492",-77.0167130356221,38.9477196940638,1978-10-04,"transect"
"8867",-77.0202974323299,38.9565669213345,1978-10-05,"transect"
"82958",-77.0712582029155,38.9375379564676,1978-10-08,"transect"
"136973",-77.0006611721044,38.9238387887662,1978-10-09,"transect"
"137327",-77.0193623723192,38.923717545383,1978-10-17,"first_transect"
"133084",-77.0157779756114,38.9248087283722,1978-10-23,"transect"
"2497",-77.0527128460357,38.9581423391092,1978-10-26,"transect"
"206257",-77.0620634461431,38.906013788124,1978-10-29,"transect"
"158501",-77.0436739325985,38.9182613786966,1978-11-02,"transect"
"81048",-76.9995702687585,38.9381440532033,1978-11-08,"transect3"
"189245",-77.0539595927167,38.9103795083487,1978-11-09,"transect"
"202741",-77.019050685649,38.9069839713771,1978-11-10,"transect"
"139135",-77.0330765858101,38.9232325697785,1978-11-13,"TRANSECT"
"154167",-77.054271279387,38.9193526455989,1978-11-14,"transect"
"122261",-77.0034663521366,38.9275972308737,1978-11-16,"transect1"
"39288",-77.0070507488445,38.9488105077955,1978-11-17,"transect"
"141257",-77.0717257329208,38.9226263456109,1978-11-20,"Transect2"
"208442",-77.0170247222924,38.9055286915254,1978-11-25,"transect"
"184798",-77.0082974955254,38.9115921607612,1978-11-27,"transect"
"131770",-76.998946895418,38.9251724523059,1978-11-30,"Transect"
"45047",-77.0698556128993,38.9472348825727,1978-12-09,"Transect4"
"208436",-77.0179597823031,38.9055286915254,1978-12-11,"transect"
"212275",-77.0106351455523,38.9045584883843,1978-12-19,"first_transect"
"156318",-77.0145312289304,38.9188676401586,1978-12-21,"second_transect"
"34428",-77.0257519490593,38.9500225033656,1978-12-26,"transect"
"45656",-77.0488167626576,38.9471136791819,1978-12-29,"transect_2"
"130779",-77.0056481588284,38.9254149338922,1978-12-31,"transect"
"137210",-77.0375960425287,38.923717545383,1979-01-09,"transect"
"63592",-77.041803812577,38.9571728553929,1979-01-28,"transect"
"115352",-77.0460115826254,38.9292945265571,1979-02-03,"transect"
"132176",-77.0095442422064,38.9250512112019,1979-02-05,"transect"
"141839",-77.0548946527275,38.9225051001559,1979-02-09,"transect"
"129136",-77.0400895358907,38.9257786547177,1979-02-13,"transect "
"74625",-77.0402453792258,38.9397198804718,1979-02-17,"transect"
"65772",-77.0164013489519,38.9420229496383,1979-02-22,"transect"
"68298",-77.0659595295213,38.9412956727201,1979-03-07,"Transect2"
"206427",-77.0355700791721,38.906013788124,1979-03-10,"transect"
"70312",-77.0475700159767,38.9408108172968,1979-03-12,"transect"
"69820",-77.0503751960089,38.9409320314635,1979-03-13,"transect"
"180466",-77.0185831556436,38.912683530219,1979-03-17,"transect"
"151314",-77.0556738694031,38.9200801475434,1979-03-18,"transect"
"12978",-77.0444531492742,38.9554762269731,1979-03-25,"transect"
"41726",-77.0703231429047,38.9480833005061,1979-03-29,"transect4"
"50973",-77.0327648991399,38.9457804282053,1979-04-03,"Transect3"
"44360",-77.0291805024321,38.9474772887327,1979-04-06,"Transect1"
"119990",-77.061907602808,38.9280821766415,1979-04-09,"Transect1"
"61187",-77.0661153728564,38.9431138510281,1979-04-11,"transect"
"64411",-77.0290246590969,38.9571728553929,1979-04-19,"transect"
"120925",-77.0639335661646,38.927839704172,1979-04-23,"Transect2"
"136349",-77.024037672373,38.9239600319421,1979-05-04,"Transect4"
"23603",-77.0137520122548,38.9528100145302,1979-05-05,"transect"
"12632",-77.0245052023783,38.9555974160644,1979-05-06,"transect"
"1798",-77.0139078555899,38.9583847079659,1979-05-07,"transect_2"
"165546",-77.0538037493816,38.9164425632327,1979-05-08,"transect"
"129360",-77.005180628823,38.9257786547177,1979-05-18,"transect"
"175788",-77.0089208688659,38.9138961432677,1979-05-19,"transect"
"215749",-77.0601933261217,38.9035882719845,1979-05-21,"Transect5"
"217036",-77.0073624355147,38.9033457158129,1979-05-22,"transect"
"167287",-77.0040897254771,38.916078794546,1979-05-24,"transect"
"194558",-77.0385311025394,38.9090455667662,1979-06-02,"transect"
"156128",-77.0441414626039,38.9188676401586,1979-06-04,"transect"
"95947",-77.0414921259068,38.9342649445769,1979-06-15,"transect"
"185642",-77.0245052023783,38.9113496319361,1979-06-18,"transect"
"165999",-77.0570764594192,38.916321307211,1979-06-20,"Transect3"
"126643",-77.0592582661109,38.9263848519497,1979-06-23,"transect"
"167581",-77.0321415257994,38.9159575379026,1979-06-30,"transect"
"211722",-77.0229467690271,38.9046797645019,1979-06-30,"Transect5"
"111271",-77.0171805656275,38.9303856237652,1979-07-06,"transect"
"135",-77.0514660993547,38.9587482596964,1979-07-10,"Transect1"
"85802",-77.0712582029155,38.9368106335464,1979-07-11,"transect"
"55072",-77.0587907361055,38.9446895678466,1979-07-12,"Transect1"
"133258",-77.0625309761485,38.9246874866467,1979-07-15,"transect"
"154092",-77.0659595295213,38.9193526455989,1979-07-25,"transect"
"67238",-77.0095442422064,38.9416593121118,1979-07-27,"transect "
"184376",-77.000193642099,38.9117134248631,1979-07-29,"transect "
"132224",-77.0020637621205,38.9250512112019,1979-08-13,"transect"
"29660",-77.0301155624427,38.951234478212,1979-08-25,"transect"
"66882",-77.0650244695105,38.9416593121118,1979-09-09,"transect"
"124194",-77.0715698895857,38.9269910440017,1979-09-11,"Transect3"
"192611",-77.0464791126308,38.909530639333,1979-09-13,"transect"
"206706",-77.0659595295213,38.9058925142852,1979-09-14,"transect"
"104496",-77.0388427892097,38.9320828527287,1979-09-16,"transect4"
"57753",-77.010323458882,38.9440835270609,1979-09-19,"Transect3"
"132597",-77.017803938968,38.9249299698906,1979-09-20,"thirdtransect"
"164471",-76.9997261120936,38.9168063300548,1979-09-23,"TRANSECT"
"127205",-77.04554405262,38.9262636129178,1979-10-04,"transect"
"169888",-77.0419596559122,38.9153512515784,1979-10-10,"transect"
"21371",-77.0349467058316,38.9582635236412,1979-10-13,"Transect3"
"79742",-77.0117260488981,38.9568092955796,1979-10-22,"Transect5"
"88676",-77.0665829028617,38.9360833031655,1979-10-24,"transect1"
"29847",-77.0009728587746,38.951234478212,1979-10-27,"transect"
"74921",-77.0679854928779,38.939598664233,1979-11-08,"transect"
"5419",-77.040557065896,38.9574152275654,1979-11-11,"transect"
"12120",-77.0304272491131,38.9557186049485,1979-11-13,"transect"
"89311",-77.0414921259068,38.9359620807101,1979-11-17,"TRANSECT"
"169833",-77.050531039344,38.9153512515784,1979-11-19,"transect"
"106589",-77.0081416521903,38.9315979343118,1979-11-22,"transect"
"105132",-77.0135961689196,38.9319616234353,1979-11-25,"transect"
